year_month,category,top_counterpart,n_customers,n_transasctions,total_amount,pos_perc,ecom_perc
2-2023,education,other,3,3,572.83,0.9,0.1
2-2023,salary,other,2,2,308.91,0.97,0.03
2-2023,shopping,hornbach,15,23,658.18,0.72,0.28
11-2022,transport,easypark,52,136,677.35,0.0,1.0
11-2022,communication,amazon,65,105,1049.45,0.0,1.0
11-2022,communication,adobe,30,45,1473.96,0.0,1.0
12-2022,groceries,lidl,163,381,16343.74,1.0,0.0
12-2022,groceries,spar,127,293,8913.93,1.0,0.0
12-2022,communication,paypal,110,209,5605.31,0.0,1.0
12-2022,transport,avia,106,179,7790.36,1.0,0.0
12-2022,transport,agrola,70,164,4985.27,1.0,0.0
12-2022,cash,binance,15,68,7715.92,0.0,1.0
12-2022,general,other,317,543,54151.69,0.21,0.79
12-2022,transport,socar,76,123,3049.45,1.0,0.0
12-2022,cash,twint,62,164,8417.36,0.0,1.0
12-2022,entertainment,swisslos,32,85,3835.0,0.0,1.0
12-2022,transport,tamoil,32,59,1382.37,1.0,0.0
12-2022,groceries,twint,15,48,654.05,0.0,1.0
12-2022,entertainment,playstationnetwork,24,36,775.63,0.0,1.0
12-2022,entertainment,swiss casinos,24,130,9045.6,0.0,1.0
12-2022,shopping,decathlon,26,36,2493.65,0.87,0.13
3-2022,general,other,253,474,53583.16,0.31,0.69
3-2022,restaurants,mcdonalds,167,280,4933.87,1.0,0.0
3-2022,groceries,avec,121,230,2189.6,1.0,0.0
3-2022,groceries,sumup,52,62,1133.54,0.91,0.09
4-2022,groceries,migros,677,2577,74894.65,0.91,0.09
4-2022,communication,apple,330,955,24795.63,0.0,1.0
4-2022,shopping,digitec galaxus,89,141,18694.17,0.06,0.94
4-2022,shopping,manor,44,60,3064.7,0.98,0.02
4-2022,groceries,brezelkonig,46,61,486.0,1.0,0.0
4-2022,entertainment,microsoft,39,44,810.45,0.0,1.0
4-2022,entertainment,paypal,21,30,713.82,0.0,1.0
4-2022,groceries,stocker,15,21,153.4,1.0,0.0
5-2022,shopping,aliexpress,52,251,4071.48,0.0,1.0
5-2022,transport,migrol,141,284,6988.52,1.0,0.0
5-2022,shopping,paypal,88,132,15320.8,0.0,1.0
5-2022,groceries,kkiosk,101,168,1681.85,1.0,0.0
5-2022,communication,post,94,120,7869.95,1.0,0.0
5-2022,health,amavita,53,63,1803.5,1.0,0.0
5-2022,entertainment,steam,29,49,919.76,0.0,1.0
5-2022,shopping,zalando,31,58,5644.64,0.01,0.99
5-2022,groceries,brezelkönig,35,49,313.6,1.0,0.0
5-2022,transport,landi,17,34,662.65,1.0,0.0
5-2022,restaurants,other,1083,7220,247975.08,0.94,0.06
4-2022,transport,other,756,2471,79896.51,0.74,0.26
4-2022,tax,other,150,209,12342.72,0.72,0.28
4-2022,cash,revolut,48,97,45899.2,0.0,1.0
4-2022,health,amavita,54,64,2047.7,1.0,0.0
4-2022,Fitness,other,1,1,10.0,1.0,0.0
6-2022,groceries,aldi,193,429,12897.85,1.0,0.0
6-2022,entertainment,netflix,116,116,2357.86,0.0,1.0
6-2022,communication,sky,35,41,680.2,0.0,1.0
6-2022,general,other,272,441,43383.68,0.21,0.79
6-2022,restaurants,other,1107,7403,257776.58,0.95,0.05
6-2022,groceries,manor,39,89,1782.0,1.0,0.0
6-2022,shopping,migros,55,73,4288.5,0.91,0.09
6-2022,cash,kantonalbank,36,48,10160.0,1.0,0.0
6-2022,entertainment,google,33,39,259.57,0.0,1.0
6-2022,groceries,rewe,20,28,848.53,1.0,0.0
6-2022,communication,yallo,13,22,861.6,0.0,1.0
8-2023,holidays,other,585,1538,239318.9,0.58,0.42
8-2023,groceries,coop,956,4353,91999.9,0.98,0.02
8-2023,restaurants,mcdonalds,243,389,6555.0,0.92,0.08
8-2023,entertainment,netflix,98,101,1983.43,0.0,1.0
8-2023,communication,netflix.com,79,80,1280.66,0.0,1.0
8-2023,transport,bolt,29,101,524.06,0.0,1.0
