year_month,category,top_counterpart,n_customers,n_transasctions,total_amount,pos_perc,ecom_perc
1-2022,shopping,muller,41,48,1587.67,1.0,0.0
1-2022,savings,revolut,48,108,26276.24,0.0,1.0
1-2022,holidays,other,295,712,124585.87,0.54,0.46
10-2021,holidays,booking.com,16,23,4132.89,0.0,1.0
10-2021,restaurants,spettacolo,25,39,315.9,1.0,0.0
11-2021,groceries,lidl,130,278,12135.68,1.0,0.0
11-2021,groceries,spar,89,227,5778.98,1.0,0.0
11-2021,communication,yallo,14,23,423.35,0.0,1.0
11-2021,Restaurant,other,1,2,15.6,1.0,0.0
12-2021,groceries,migros,671,2430,84145.85,0.93,0.07
1-2022,communication,google,112,321,4938.44,0.0,1.0
6-2021,education,other,2,3,942.65,0.0,1.0
6-2021,restaurants,migros,83,173,1839.25,1.0,0.0
6-2021,cash,postfinance,21,26,4871.01,1.0,0.0
6-2021,savings,revolut,41,133,30235.16,0.0,1.0
6-2021,living,landi,32,41,1014.45,1.0,0.0
6-2021,restaurants,subway,17,26,508.39,1.0,0.0
6-2021,shopping,decathlon,27,28,2331.96,0.83,0.17
7-2021,groceries,aldi,142,321,11173.97,1.0,0.0
7-2021,groceries,manor,25,52,1069.0,1.0,0.0
7-2021,shopping,otto's,29,41,1662.15,0.95,0.05
7-2021,transport,paypal,12,14,575.88,0.0,1.0
8-2021,groceries,lidl,130,289,9791.99,1.0,0.0
8-2021,groceries,spar,95,232,5955.55,1.0,0.0
8-2021,cash,revolut,1,1,53.91,0.0,1.0
8-2021,entertainment,interwetten,5,29,6580.0,0.0,1.0
8-2021,transport,tier,14,42,191.62,0.0,1.0
8-2021,communication,netflix.com,11,11,156.59,0.0,1.0
8-2021,groceries,twint,5,9,249.7,0.0,1.0
8-2021,holidays,airbnb,14,18,9956.29,0.0,1.0
7-2021,shopping,orell fussli,17,26,1022.25,1.0,0.0
7-2021,groceries,rewe,13,22,1088.98,1.0,0.0
7-2021,shopping,hornbach,11,16,1737.71,0.97,0.03
7-2021,wellness,other,11,12,1596.35,0.96,0.04
8-2021,transport,parkingpay,20,60,436.95,0.0,1.0
9-2021,transport,coop,221,439,10382.46,0.98,0.02
9-2021,groceries,selecta,108,354,1045.96,1.0,0.0
9-2021,communication,paypal,66,130,3258.09,0.0,1.0
9-2021,transport,fairtiq,28,76,1567.95,0.0,1.0
9-2021,transport,zvv,22,74,5315.6,0.0,1.0
9-2021,holidays,other,378,964,161106.67,0.65,0.35
9-2021,transport,eni,35,55,1854.1,1.0,0.0
9-2021,transport,lime,25,151,709.6,0.0,1.0
9-2021,entertainment,jackpots.ch,14,119,15084.29,0.0,1.0
1-2023,shopping,amazon,115,251,14208.4,0.0,1.0
1-2023,shopping,ikea,76,119,9590.03,0.81,0.19
1-2023,shopping,sumup,39,48,3060.36,0.38,0.62
1-2023,health,amavita,43,55,1355.05,0.97,0.03
1-2023,groceries,sprungli,41,47,1039.65,0.99,0.01
1-2023,groceries,panetarium,3,38,374.4,1.0,0.0
1-2023,holidays,airbnb,22,47,16883.82,0.0,1.0
1-2023,groceries,other,991,4264,106401.28,0.81,0.19
1-2023,entertainment,other,592,1850,120900.51,0.22,0.78
1-2023,transport,sbb,309,1503,25624.9,0.31,0.69
2-2023,groceries,lidl,191,441,13428.63,1.0,0.0
2-2023,communication,google,93,264,2573.48,0.0,1.0
2-2023,groceries,spar,120,280,6880.04,1.0,0.0
2-2023,groceries,twint,14,31,626.37,0.0,1.0
2-2023,health,coop,33,35,976.75,1.0,0.0
3-2023,communication,tiktok,9,27,221.12,0.0,1.0
11-2022,shopping,muller,53,62,1530.7,1.0,0.0
11-2022,groceries,sprungli,38,49,1289.35,0.93,0.07
11-2022,entertainment,youtube,40,41,625.89,0.0,1.0
11-2022,restaurants,tibits,36,59,1031.3,0.91,0.09
11-2022,groceries,panetarium,4,41,382.2,1.0,0.0
11-2022,communication,netflix.com,24,24,334.36,0.0,1.0
11-2022,groceries,other,1032,4318,109682.47,0.77,0.23
11-2022,transport,sbb,345,1710,25808.15,0.21,0.79
12-2022,transport,migrol,118,213,5542.54,1.0,0.0
12-2022,communication,post,128,164,4223.12,0.99,0.01
12-2022,groceries,steiner,45,102,1341.3,1.0,0.0
12-2022,shopping,migros,60,70,4250.15,0.92,0.08
12-2022,entertainment,steam,39,95,2183.47,0.0,1.0
12-2022,transport,landi,19,33,1100.05,1.0,0.0
12-2022,groceries,sbb,27,33,251.75,1.0,0.0
12-2022,Shopping,other,4,4,503.1,1.0,0.0
12-2022,education,other,3,5,802.52,0.12,0.88
3-2022,groceries,migrolino,89,286,2271.4,1.0,0.0
3-2022,entertainment,netflix,127,129,2625.13,0.0,1.0
3-2022,restaurants,mcdonald's,56,86,1434.26,1.0,0.0
3-2022,shopping,muller,47,58,1420.85,0.93,0.07
4-2022,groceries,volg,125,374,6822.9,1.0,0.0
4-2022,entertainment,mycasino.ch,7,34,1231.62,0.0,1.0
3-2022,holidays,booking.com,20,21,5958.39,0.0,1.0
4-2022,restaurants,spettacolo,27,40,256.5,1.0,0.0
4-2022,health,coop,39,43,1159.6,1.0,0.0
4-2022,shopping,ochsner,26,28,2048.85,0.88,0.12
5-2022,groceries,selecta,116,370,1057.08,0.99,0.01
5-2022,communication,paypal,99,186,5250.82,0.0,1.0
5-2022,transport,avia,110,170,8215.15,1.0,0.0
5-2022,cash,revolut,74,221,96082.14,0.0,1.0
5-2022,transport,socar,109,212,5068.62,1.0,0.0
5-2022,transport,agrola,75,152,4965.38,1.0,0.0
5-2022,restaurants,burger,117,155,3545.29,1.0,0.0
5-2022,entertainment,swisslos,37,76,3158.0,0.01,0.99
5-2022,transport,tamoil,36,67,1608.3,1.0,0.0
5-2022,health,coop,37,44,1316.6,1.0,0.0
5-2022,entertainment,playstationnetwork,15,18,550.23,0.0,1.0
5-2022,entertainment,swiss casinos,20,102,5942.0,0.0,1.0
4-2022,communication,tiktok,3,4,3.22,0.0,1.0
6-2022,transport,other,783,2627,70093.06,0.72,0.28
6-2022,restaurants,burger,110,148,3258.79,0.98,0.02
6-2022,living,other,95,151,13527.38,0.53,0.47
6-2022,shopping,decathlon,29,33,1886.59,0.94,0.06
8-2023,cash,other,280,673,151272.06,0.76,0.24
8-2023,Shopping,other,2,2,132.95,1.0,0.0
8-2023,groceries,denner,358,807,17734.65,0.99,0.01
8-2023,restaurants,mcdonald's,92,128,2276.22,0.98,0.02
8-2023,communication,amazon,64,118,1737.39,0.0,1.0
8-2023,shopping,amzn,25,43,3679.83,0.0,1.0
8-2023,communication,adobe,29,37,874.7,0.0,1.0
8-2023,health,dm-drogerie,29,36,1368.75,1.0,0.0
8-2023,savings,other,17,28,6464.55,0.0,1.0
9-2023,transport,sbb,365,1721,24597.65,0.12,0.88
9-2023,groceries,selecta,114,288,894.85,1.0,0.0
9-2023,shopping,amazon,103,201,12239.35,0.0,1.0
9-2023,shopping,ikea,86,150,10462.91,0.69,0.31
9-2023,shopping,sumup,61,83,11215.73,0.98,0.02
9-2023,restaurants,spettacolo,29,48,421.3,1.0,0.0
9-2023,health,other,505,860,46105.53,0.91,0.09
10-2023,shopping,paypal,87,175,16652.18,0.0,1.0
10-2023,restaurants,spettacolo,30,42,379.8,1.0,0.0
10-2023,entertainment,other,669,2367,175756.67,0.17,0.83
10-2023,groceries,aldi,229,495,16694.38,0.99,0.01
10-2023,shopping,aliexpress,58,225,6520.39,0.0,1.0
10-2023,living,landi,44,57,2218.05,1.0,0.0
10-2023,shopping,zalando,20,42,5067.41,0.01,0.99
10-2023,health,dm-drogerie,47,63,2496.27,1.0,0.0
10-2023,groceries,rewe,37,51,1778.55,1.0,0.0
10-2023,groceries,manor,37,69,2843.2,1.0,0.0
7-2022,transport,voi,30,99,451.32,0.34,0.66
7-2022,groceries,sbb,27,42,481.05,1.0,0.0
7-2022,groceries,steiner,58,112,1268.4,1.0,0.0
7-2022,shopping,amzn,18,28,1308.86,0.0,1.0
8-2022,groceries,volg,157,451,7477.7,1.0,0.0
8-2022,communication,other,496,996,47727.52,0.04,0.96
8-2022,entertainment,other,566,1637,106590.7,0.23,0.77
8-2022,transport,other,907,3287,95268.24,0.79,0.21
8-2022,cash,other,263,610,134930.39,0.88,0.12
8-2022,tax,other,202,294,11617.69,0.56,0.44
8-2022,restaurants,burger,137,177,3606.44,0.98,0.02
8-2022,shopping,otto's,29,36,2698.2,1.0,0.0
8-2022,shopping,orell fussli,39,46,2257.75,0.66,0.34
8-2022,shopping,hornbach,21,35,1958.6,0.87,0.13
9-2022,groceries,denner,279,629,14087.8,0.98,0.02
9-2022,transport,migrol,101,225,5972.43,1.0,0.0
9-2022,shopping,ikea,48,81,8291.48,0.69,0.31
9-2022,transport,landi,13,30,709.21,1.0,0.0
9-2022,living,other,99,165,15839.45,0.45,0.55
9-2022,shopping,amazon,104,199,10188.51,0.0,1.0
9-2022,shopping,sumup,47,53,6544.35,0.99,0.01
9-2022,entertainment,steam,30,62,1122.23,0.0,1.0
1-2021,groceries,migros,346,1250,53224.7,0.93,0.07
1-2021,transport,shell,30,47,1806.08,1.0,0.0
1-2021,shopping,amazon,36,75,4041.79,0.0,1.0
1-2021,shopping,ikea,24,39,8397.95,0.61,0.39
1-2021,groceries,brezelkonig,22,28,188.6,1.0,0.0
1-2021,shopping,sumup,7,8,428.43,0.27,0.73
1-2021,entertainment,microsoft,13,14,336.13,0.0,1.0
1-2021,entertainment,paypal,18,25,743.16,0.0,1.0
1-2021,groceries,stocker,9,15,96.1,1.0,0.0
2-2021,groceries,aldi,99,228,8801.58,1.0,0.0
2-2021,communication,post,58,68,1712.05,1.0,0.0
2-2021,shopping,muller,26,35,1274.9,1.0,0.0
2-2021,groceries,manor,13,37,1743.35,1.0,0.0
2-2021,groceries,rewe,1,2,38.47,1.0,0.0
2-2021,tax,other,45,62,3055.36,0.43,0.57
3-2021,transport,sbb,151,584,6797.0,0.13,0.87
3-2021,groceries,aldi,148,357,12480.85,1.0,0.0
3-2021,restaurants,starbucks,32,70,689.63,1.0,0.0
3-2021,shopping,muller,25,36,1148.1,1.0,0.0
3-2021,groceries,manor,27,45,2078.2,1.0,0.0
3-2021,cash,kantonalbank,9,12,1230.0,1.0,0.0
3-2021,restaurants,vicafe,15,28,298.9,1.0,0.0
5-2021,groceries,denner,186,388,13759.9,0.9,0.1
5-2021,transport,voi,2,10,35.4,0.0,1.0
5-2021,entertainment,microsoft,23,24,591.58,0.0,1.0
5-2021,entertainment,paypal,12,17,642.59,0.0,1.0
1-2021,health,sumup,6,8,521.18,1.0,0.0
2-2021,cash,revolut,1,1,15.0,0.0,1.0
2-2021,restaurants,tibits,2,2,45.3,1.0,0.0
3-2021,groceries,rewe,4,6,111.56,1.0,0.0
4-2021,groceries,aldi,139,322,12462.03,1.0,0.0
4-2021,transport,parkingpay,17,49,342.0,0.0,1.0
4-2021,restaurants,mcdonald's,30,40,633.7,0.95,0.05
4-2021,communication,post,76,100,1729.84,0.99,0.01
4-2021,cash,ubs,38,80,4434.01,0.51,0.49
4-2021,groceries,manor,23,39,2057.8,1.0,0.0
4-2021,transport,tier,7,29,75.84,0.0,1.0
4-2021,health,amavita,28,35,1868.55,1.0,0.0
4-2021,shopping,amzn,3,6,246.25,0.0,1.0
4-2021,groceries,rewe,3,5,92.58,1.0,0.0
4-2021,education,other,2,5,1915.9,0.61,0.39
6-2021,transport,voi,4,7,27.25,0.0,1.0
7-2023,groceries,selecta,123,282,938.03,1.0,0.0
7-2023,shopping,globus,35,51,3156.74,0.82,0.18
7-2023,holidays,swiss,43,82,13604.57,0.06,0.94
7-2023,restaurants,starbucks,93,169,1967.63,0.98,0.02
7-2023,restaurants,vicafe,17,37,373.5,0.92,0.08
10-2022,transport,shell,125,191,5795.4,1.0,0.0
10-2022,groceries,kkiosk,107,172,1640.8,1.0,0.0
10-2022,living,landi,38,51,1425.0,1.0,0.0
10-2022,groceries,brezelkönig,72,92,678.6,1.0,0.0
9-2022,communication,tiktok,4,44,496.04,0.0,1.0
10-2022,communication,google,162,473,8873.47,0.0,1.0
10-2022,Restaurant,other,2,3,59.0,1.0,0.0
3-2022,entertainment,google,36,39,335.28,0.0,1.0
3-2022,transport,bolt,2,6,39.57,0.0,1.0
11-2023,groceries,coop,905,4618,95891.33,0.96,0.04
11-2023,restaurants,mcdonalds,263,409,7169.56,0.93,0.07
11-2023,transport,uber,80,235,4600.14,0.05,0.95
11-2023,cash,postfinance,60,105,20323.24,1.0,0.0
2-2022,transport,coop,208,399,10594.96,0.97,0.03
2-2022,restaurants,migros,138,254,3446.3,1.0,0.0
2-2022,groceries,migrolino,77,189,1485.25,1.0,0.0
2-2022,shopping,aliexpress,62,174,4877.94,0.0,1.0
2-2022,shopping,paypal,89,157,13445.34,0.0,1.0
2-2022,communication,amazon,45,70,626.43,0.0,1.0
2-2022,transport,lime,15,55,248.73,0.0,1.0
2-2022,transport,fairtiq,32,77,1661.37,0.0,1.0
2-2022,transport,zvv,20,76,3466.7,0.0,1.0
2-2022,shopping,zalando,18,28,2889.3,0.0,1.0
2-2022,restaurants,subway,19,32,484.97,1.0,0.0
2-2022,health,other,368,584,37288.04,0.84,0.16
2-2022,transport,eni,35,51,1790.83,0.86,0.14
2-2022,communication,adobe,16,21,600.64,0.0,1.0
11-2023,transport,vbz,25,52,404.4,1.0,0.0
11-2023,health,dm-drogerie,42,49,1973.85,1.0,0.0
11-2023,Restaurant,other,4,4,161.9,1.0,0.0
12-2023,restaurants,mcdonalds,242,413,7407.44,0.94,0.06
12-2023,entertainment,microsoft,60,74,1185.87,0.0,1.0
12-2023,communication,netflix.com,78,78,1318.07,0.0,1.0
12-2023,cash,kantonalbank,47,87,28900.0,1.0,0.0
12-2023,entertainment,paypal,27,68,1990.67,0.0,1.0
12-2023,tax,other,212,372,14782.91,0.41,0.59
3-2023,groceries,coop,934,4953,105115.47,0.97,0.03
3-2023,restaurants,mcdonalds,226,405,6310.78,0.99,0.01
3-2023,savings,coinbase,11,62,14912.55,0.0,1.0
3-2023,shopping,otto's,43,63,3497.9,0.99,0.01
3-2023,cash,kantonalbank,48,72,14820.0,1.0,0.0
3-2023,shopping,orell fussli,31,34,1224.5,1.0,0.0
3-2023,general,other,326,619,57752.45,0.26,0.74
4-2023,shopping,aliexpress,63,295,5179.03,0.0,1.0
4-2023,groceries,avec,141,366,3984.17,0.99,0.01
4-2023,shopping,paypal,96,158,21818.25,0.0,1.0
4-2023,groceries,sumup,88,123,2666.61,1.0,0.0
4-2023,entertainment,youtube,49,52,721.24,0.0,1.0
4-2023,shopping,zalando,29,46,5098.9,0.01,0.99
3-2023,shopping,hornbach,18,36,2220.1,0.71,0.29
4-2023,living,other,121,189,19315.01,0.35,0.65
5-2023,restaurants,mcdonalds,240,423,5981.08,0.85,0.15
5-2023,groceries,selecta,127,290,1046.33,1.0,0.0
4-2023,transport,easypark,51,145,752.0,0.0,1.0
4-2023,cash,ubs,38,61,13590.0,1.0,0.0
4-2023,savings,coinbase,13,55,4977.07,0.0,1.0
4-2023,Holidays,other,1,1,27.9,1.0,0.0
5-2023,transport,voi,21,113,714.55,0.43,0.57
5-2023,communication,tiktok,5,23,231.83,0.0,1.0
6-2023,communication,apple,352,947,15009.36,0.0,1.0
6-2023,shopping,amazon,84,168,9940.35,0.0,1.0
6-2023,cash,twint,35,134,4926.63,0.0,1.0
6-2023,entertainment,netflix,109,110,2264.15,0.0,1.0
6-2023,shopping,ikea,63,111,4993.4,0.91,0.09
6-2023,savings,coinbase,11,45,2694.56,0.0,1.0
6-2023,cash,binance,13,62,25014.4,0.0,1.0
6-2023,living,other,113,203,13027.06,0.75,0.25
6-2023,entertainment,google,10,17,204.95,0.0,1.0
6-2023,shopping,sumup,55,66,3514.77,1.0,0.0
10-2021,groceries,other,806,3425,98888.97,0.83,0.17
10-2021,transport,coop,213,441,11167.99,0.98,0.02
10-2021,shopping,digitec galaxus,74,139,14993.6,0.02,0.98
10-2021,entertainment,netflix,122,122,2207.31,0.0,1.0
10-2021,shopping,manor,51,76,4251.4,0.84,0.16
10-2021,transport,eni,30,47,1642.75,0.95,0.05
10-2021,transport,lime,27,153,604.9,0.0,1.0
10-2021,transport,fairtiq,29,74,1674.85,0.0,1.0
10-2021,entertainment,google,9,9,47.29,0.0,1.0
10-2021,living,landi,29,34,909.6,1.0,0.0
10-2021,transport,zvv,18,55,627.7,0.0,1.0
10-2021,groceries,sprungli,41,64,1698.58,1.0,0.0
11-2021,communication,post,79,110,3180.85,1.0,0.0
11-2021,shopping,migros,52,65,7084.95,0.98,0.02
12-2021,transport,avia,83,136,6979.35,1.0,0.0
12-2021,transport,socar,69,130,3775.23,1.0,0.0
12-2021,transport,agrola,64,106,4087.15,1.0,0.0
12-2021,cash,twint,41,93,4714.75,0.0,1.0
12-2021,groceries,steiner,44,120,1347.95,1.0,0.0
12-2021,transport,tamoil,19,25,1562.93,1.0,0.0
12-2021,cash,binance,23,98,20691.34,0.0,1.0
12-2021,restaurants,spettacolo,18,25,191.1,1.0,0.0
12-2021,groceries,sbb,17,23,198.95,1.0,0.0
1-2022,shopping,aliexpress,64,216,5014.52,0.0,1.0
1-2022,shopping,paypal,108,222,21166.18,0.0,1.0
1-2022,communication,spotify,139,146,2351.02,0.0,1.0
1-2022,cash,twint,44,191,8671.0,0.0,1.0
1-2022,shopping,zalando,30,42,8231.32,0.0,1.0
1-2022,cash,binance,16,76,10640.69,0.0,1.0
1-2022,communication,audible,28,31,342.14,0.0,1.0
1-2022,transport,other,599,1761,51322.48,0.72,0.28
10-2021,groceries,panetarium,8,39,408.0,1.0,0.0
11-2021,groceries,volg,113,333,6459.2,1.0,0.0
11-2021,restaurants,mcdonalds,159,251,4265.41,1.0,0.0
12-2021,health,coop,40,50,1023.55,0.97,0.03
1-2022,groceries,denner,227,496,11869.3,0.98,0.02
1-2022,restaurants,mcdonalds,152,241,4435.99,1.0,0.0
1-2022,savings,other,32,67,27331.87,0.0,1.0
6-2021,savings,other,28,92,16797.18,0.0,1.0
6-2021,groceries,kkiosk,56,76,864.95,1.0,0.0
6-2021,restaurants,starbucks,42,67,805.3,0.88,0.12
6-2021,groceries,brezelkönig,20,29,197.1,1.0,0.0
6-2021,shopping,amzn,5,5,230.93,0.0,1.0
6-2021,restaurants,vicafe,22,29,341.2,1.0,0.0
7-2021,transport,migrol,88,157,3532.78,1.0,0.0
7-2021,shopping,amazon,46,78,3737.77,0.0,1.0
7-2021,shopping,ikea,59,101,7580.22,0.68,0.32
7-2021,shopping,sumup,25,33,3846.9,1.0,0.0
7-2021,holidays,swiss,29,41,4857.91,0.07,0.93
7-2021,transport,landi,15,25,819.7,1.0,0.0
7-2021,living,other,73,116,11667.08,0.38,0.62
8-2021,groceries,volg,123,335,5724.9,1.0,0.0
8-2021,transport,uber,42,162,2623.35,0.03,0.97
8-2021,shopping,migros,45,58,3114.25,0.9,0.1
8-2021,transport,vbz,26,40,309.3,1.0,0.0
8-2021,entertainment,jackpots.ch,13,108,1695.4,0.0,1.0
8-2021,cash,other,182,379,73514.52,0.77,0.23
9-2021,entertainment,interwetten,4,21,7198.0,0.0,1.0
1-2023,communication,amazon,68,114,1102.97,0.0,1.0
1-2023,general,paypal,49,95,11226.48,0.0,1.0
1-2023,shopping,otto's,44,55,3949.45,0.94,0.06
1-2023,health,sumup,35,46,3787.65,1.0,0.0
1-2023,restaurants,spettacolo,43,82,590.6,1.0,0.0
2-2023,groceries,volg,139,338,6662.1,1.0,0.0
2-2023,communication,spotify,149,156,2562.36,0.0,1.0
2-2023,communication,audible,33,35,365.33,0.0,1.0
2-2023,restaurants,other,1151,7032,220028.25,0.95,0.05
2-2023,tax,other,175,245,15668.85,0.62,0.38
1-2023,shopping,orell fussli,23,29,918.15,1.0,0.0
1-2023,communication,adobe,34,41,1305.67,0.0,1.0
1-2023,shopping,hornbach,13,25,1027.15,1.0,0.0
2-2023,transport,sbb,294,1288,19904.1,0.25,0.75
2-2023,wellness,other,10,11,1573.8,0.94,0.06
3-2023,education,other,2,3,302.34,0.89,0.11
11-2022,shopping,aliexpress,80,353,8427.04,0.0,1.0
11-2022,shopping,paypal,102,202,24821.79,0.0,1.0
11-2022,restaurants,burger,162,230,4968.39,0.96,0.04
11-2022,shopping,zalando,21,36,3829.88,0.03,0.97
11-2022,living,other,104,199,22585.12,0.38,0.62
12-2022,groceries,migros,776,2776,88915.63,0.94,0.06
12-2022,communication,sky,41,53,857.6,0.0,1.0
12-2022,entertainment,mycasino.ch,17,190,18966.85,0.0,1.0
12-2022,groceries,brezelkonig,65,89,714.5,0.98,0.02
12-2022,groceries,stocker,21,36,252.25,1.0,0.0
12-2022,communication,yallo,18,45,887.75,0.0,1.0
12-2022,transport,paypal,17,30,2807.55,0.0,1.0
12-2022,salary,other,1,1,14.0,1.0,0.0
3-2022,groceries,coop,821,4005,85613.26,0.98,0.02
3-2022,restaurants,sumup,128,211,5168.65,1.0,0.0
3-2022,shopping,aliexpress,60,205,3697.23,0.0,1.0
3-2022,shopping,paypal,88,184,16780.48,0.0,1.0
3-2022,restaurants,uber,55,149,5192.62,0.03,0.97
3-2022,transport,easypark,32,70,316.59,0.0,1.0
3-2022,restaurants,marche,33,48,706.35,1.0,0.0
3-2022,shopping,zalando,29,48,5474.53,0.0,1.0
3-2022,wellness,other,16,23,1910.66,0.55,0.45
4-2022,groceries,lidl,164,347,14415.49,1.0,0.0
4-2022,groceries,spar,122,234,6694.09,1.0,0.0
4-2022,transport,voi,15,45,179.7,0.0,1.0
4-2022,groceries,twint,16,34,701.0,0.0,1.0
4-2022,shopping,jelmoli,23,43,3233.0,1.0,0.0
5-2022,entertainment,microsoft,44,49,1116.73,0.0,1.0
5-2022,restaurants,tibits,28,54,1255.8,1.0,0.0
5-2022,entertainment,paypal,24,35,1383.21,0.0,1.0
5-2022,holidays,airbnb,14,26,8884.99,0.0,1.0
5-2022,cash,other,234,605,145225.83,0.82,0.18
4-2022,shopping,other,992,3255,257149.67,0.68,0.32
4-2022,entertainment,steam,26,41,1088.67,0.0,1.0
6-2022,transport,shell,114,184,4918.49,1.0,0.0
6-2022,communication,paypal,82,152,4289.68,0.0,1.0
6-2022,groceries,sprungli,32,45,789.2,1.0,0.0
6-2022,groceries,other,950,3878,96463.39,0.84,0.16
6-2022,restaurants,tibits,28,49,805.1,1.0,0.0
6-2022,shopping,amzn,27,36,2967.7,0.0,1.0
6-2022,groceries,panetarium,7,34,295.5,1.0,0.0
8-2023,health,other,492,833,49133.19,0.9,0.1
8-2023,transport,sbb,367,1599,26382.45,0.16,0.84
8-2023,restaurants,sumup,242,427,14217.99,1.0,0.0
8-2023,groceries,avec,183,356,3080.15,1.0,0.0
8-2023,restaurants,uber,51,124,5599.05,0.02,0.98
8-2023,cash,revolut,77,253,83066.96,0.0,1.0
8-2023,groceries,sumup,103,150,3562.14,1.0,0.0
8-2023,restaurants,marche,48,98,1286.5,1.0,0.0
9-2023,cash,postfinance,62,122,26891.59,1.0,0.0
9-2023,shopping,otto's,48,60,2703.8,0.93,0.07
9-2023,shopping,orell fussli,50,59,1859.75,0.64,0.36
9-2023,health,dm-drogerie,37,41,1146.03,1.0,0.0
9-2023,shopping,hornbach,19,29,2708.9,1.0,0.0
8-2023,shopping,decathlon,39,51,4132.99,0.75,0.25
8-2023,savings,revolut,8,11,1395.2,0.0,1.0
9-2023,education,other,3,5,1469.13,0.25,0.75
9-2023,living,landi,42,57,1570.15,1.0,0.0
9-2023,holidays,booking.com,52,73,32948.2,0.0,1.0
10-2023,transport,avia,118,211,7204.38,1.0,0.0
10-2023,transport,socar,92,140,3569.34,1.0,0.0
10-2023,health,other,530,947,56995.62,0.87,0.13
10-2023,transport,agrola,80,157,4277.88,1.0,0.0
10-2023,transport,tamoil,48,97,2665.75,1.0,0.0
10-2023,holidays,booking.com,46,68,19564.15,0.0,1.0
10-2023,savings,other,19,54,11670.16,0.0,1.0
10-2023,shopping,muller,55,66,1443.47,1.0,0.0
7-2022,groceries,migros,703,2441,64135.03,0.94,0.06
7-2022,entertainment,netflix,122,122,2461.15,0.0,1.0
7-2022,groceries,brezelkonig,43,66,530.9,1.0,0.0
7-2022,general,paypal,41,66,6834.89,0.0,1.0
7-2022,shopping,decathlon,52,63,4358.91,0.92,0.08
7-2022,groceries,stocker,20,30,272.2,1.0,0.0
7-2022,entertainment,google,8,8,18.31,0.0,1.0
7-2022,communication,netflix.com,24,24,348.77,0.0,1.0
7-2022,Restaurant,other,2,3,26.0,1.0,0.0
8-2022,communication,apple,341,1050,18633.29,0.0,1.0
8-2022,groceries,lidl,201,428,14628.46,1.0,0.0
8-2022,groceries,spar,142,305,6787.8,1.0,0.0
8-2022,transport,shell,134,196,6043.11,1.0,0.0
8-2022,shopping,amazon,89,165,9321.44,0.0,1.0
8-2022,cash,revolut,75,209,83882.03,0.0,1.0
8-2022,shopping,ikea,58,110,13997.86,0.84,0.16
8-2022,shopping,sumup,43,50,1958.06,1.0,0.0
8-2022,restaurants,tibits,28,61,916.6,1.0,0.0
8-2022,groceries,twint,24,67,867.6,0.0,1.0
9-2022,groceries,avec,148,277,2164.1,0.99,0.01
9-2022,entertainment,mycasino.ch,9,117,7814.38,0.0,1.0
9-2022,groceries,sumup,87,124,2492.61,1.0,0.0
9-2022,transport,paypal,13,40,481.74,0.0,1.0
9-2022,shopping,otto's,35,41,2502.35,1.0,0.0
9-2022,shopping,orell fussli,25,29,983.0,1.0,0.0
9-2022,shopping,hornbach,20,24,1224.14,0.94,0.06
1-2021,groceries,steiner,34,85,939.25,1.0,0.0
1-2021,cash,postfinance,6,6,1220.0,1.0,0.0
1-2021,entertainment,swisslos,16,20,1641.0,0.0,1.0
1-2021,health,amavita,20,23,606.65,1.0,0.0
1-2021,shopping,otto's,19,24,1605.4,1.0,0.0
1-2021,holidays,swiss,5,8,2052.15,0.01,0.99
1-2021,groceries,sbb,4,6,51.6,1.0,0.0
1-2021,entertainment,playstationnetwork,8,8,232.09,0.0,1.0
1-2021,shopping,hornbach,11,21,2092.5,0.86,0.14
1-2021,entertainment,swiss casinos,1,14,1400.0,0.0,1.0
1-2021,transport,other,268,600,17576.86,0.8,0.2
2-2021,shopping,aliexpress,29,114,2723.85,0.0,1.0
2-2021,shopping,paypal,70,127,9770.57,0.0,1.0
2-2021,restaurants,burger,28,37,926.77,0.97,0.03
2-2021,shopping,zalando,23,27,3102.36,0.0,1.0
2-2021,communication,sky,23,30,504.08,0.0,1.0
2-2021,entertainment,other,124,304,21797.51,0.16,0.84
2-2021,cash,other,58,89,23135.5,0.54,0.46
3-2021,restaurants,migros,64,115,1084.6,1.0,0.0
3-2021,shopping,aliexpress,61,174,2617.15,0.0,1.0
3-2021,shopping,paypal,81,129,11181.49,0.0,1.0
3-2021,shopping,zalando,25,37,2279.9,0.0,1.0
3-2021,restaurants,subway,16,22,392.6,1.0,0.0
5-2021,groceries,avec,54,95,834.95,1.0,0.0
5-2021,groceries,sumup,39,48,921.75,1.0,0.0
5-2021,savings,coinbase,30,82,17955.18,0.0,1.0
5-2021,entertainment,swisslos,14,20,1223.0,0.0,1.0
5-2021,communication,netflix.com,11,11,164.05,0.0,1.0
1-2021,shopping,orell fussli,2,2,34.4,1.0,0.0
2-2021,transport,voi,2,4,13.36,0.0,1.0
2-2021,communication,yallo,4,8,247.0,0.0,1.0
4-2021,transport,uber,30,91,1237.32,0.21,0.79
4-2021,restaurants,marche,19,22,299.0,1.0,0.0
4-2021,communication,sky,36,51,786.0,0.0,1.0
4-2021,restaurants,sumup,47,55,1235.36,1.0,0.0
4-2021,restaurants,uber,41,128,3927.39,0.0,1.0
4-2021,cash,twint,34,81,2295.51,0.0,1.0
4-2021,health,sumup,18,18,1221.48,1.0,0.0
