customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us,churned,segment
1553,9,291,21163.3,144,917,0.72,0.28,177.0,393.0,0.0,3207.0,0.0,307.0,3644.0,851.0,4984.0,0.0,159.0,3498.0,0.0,0.0,2481.0,52.0,1412.0,0.0,0.0,3774.69,16079.85,0.0,0.0,0.0,0.0,98.0,51.0,18.0,3.0,0.0,0.0,0.0,True,Churned
1561,8,522,4120.77,84,451,0.68,0.32,0.0,259.0,0.0,463.0,0.0,31.0,1738.0,29.0,0.0,0.0,0.0,631.0,0.0,0.0,937.0,0.0,32.0,0.0,0.0,3353.2,316.71,0.0,0.0,0.0,450.86,474.0,4.0,1.0,11.0,4.0,0.0,20.0,True,Churned
1562,3,29,180.63,19,161,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,40.0,3.0,0.0,0.0,0.0,25.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,93.55,87.08,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,4.0,0.0,True,Churned
1572,3,59,11075.08,16,41,0.69,0.31,6000.0,0.0,0.0,3426.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,1142.0,0.0,48.0,0.0,0.0,10988.75,86.33,0.0,0.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1583,7,397,11733.69,165,458,0.9,0.1,209.0,127.0,0.0,366.0,0.0,0.0,3144.0,84.0,810.0,0.0,90.0,3336.0,0.0,0.0,1582.0,6.0,1979.0,0.0,0.0,11189.25,544.44,0.0,0.0,0.0,0.0,376.0,9.0,0.0,0.0,1.0,0.0,0.0,True,Churned
1585,8,1205,25666.44,242,501,0.74,0.26,4964.0,1159.0,0.0,1131.0,0.0,41.0,3835.0,553.0,1298.0,0.0,129.0,6736.0,0.0,40.0,2328.0,0.0,3453.0,0.0,0.0,24427.8,751.59,24.53,0.0,0.0,58.17,1058.0,24.0,0.0,8.0,76.0,0.0,4.0,True,Churned
1588,9,199,14699.81,39,637,0.17,0.83,1550.0,1375.0,0.0,8898.0,0.0,0.0,270.0,406.0,0.0,0.0,66.0,127.0,0.0,0.0,1956.0,0.0,53.0,0.0,0.0,11156.96,3493.7,0.0,0.0,0.0,49.15,94.0,2.0,0.0,11.0,0.0,0.0,5.0,True,Churned
1589,1,7,34.3,4,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1591,1,5,260.0,3,305,0.0,1.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1592,3,49,635.04,30,212,0.91,0.09,0.0,0.0,0.0,63.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,87.0,0.0,167.0,0.0,0.0,350.09,284.95,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,9.0,0.0,True,Churned
