customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us
4871,1,5,10.65,5,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4872,1,1,4.5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4873,1,3,103.0,3,2,0.09,0.91,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4874,1,1,24.0,1,1,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4875,1,2,44.5,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4876,1,9,360.8,1,18,0.0,1.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
4877,1,4,115.0,1,173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4878,11,316,20527.33,186,853,0.96,0.04,4514.0,0.0,0.0,109.0,0.0,0.0,3031.0,1419.0,3310.0,0.0,164.0,3539.0,0.0,0.0,2171.0,45.0,2226.0,0.0,0.0,1973.88,12504.84,0.0,0.0,0.0,0.0,5.0,121.0,4.0,1.0,0.0,12.0,0.0
4879,16,806,20478.98,306,484,0.85,0.15,360.0,78.0,0.0,861.0,0.0,77.0,3942.0,299.0,1857.0,0.0,14.0,3613.0,0.0,0.0,3758.0,464.0,5157.0,0.0,0.0,14314.94,2874.61,4.04,255.88,321.86,1867.4,605.0,67.0,0.0,8.0,0.0,2.0,38.0
4880,14,427,55160.82,64,324,0.03,0.97,17534.0,950.0,0.0,29856.0,0.0,1861.0,262.0,0.0,148.0,0.0,200.0,170.0,0.0,1654.0,2189.0,0.0,336.0,0.0,0.0,32986.97,4730.89,0.0,0.0,0.0,17442.96,235.0,2.0,0.0,7.0,0.0,0.0,4.0
4881,17,2245,70334.59,423,963,0.52,0.48,1094.0,5490.0,0.0,1159.0,0.0,3883.0,9013.0,544.0,8141.0,0.0,434.0,12123.0,0.0,0.0,11180.0,708.0,16565.0,0.0,0.0,53956.17,12780.73,2205.24,0.0,0.0,1392.45,1875.0,76.0,16.0,68.0,105.0,22.0,19.0
4882,18,3019,225256.67,776,960,0.48,0.52,52344.0,7546.0,0.0,1505.0,0.0,1527.0,45757.0,2967.0,9941.0,0.0,1623.0,11468.0,0.0,32919.0,39911.0,5441.0,12307.0,0.0,0.0,147639.19,64420.29,80.29,0.0,0.0,11490.2,1995.0,31.0,17.0,184.0,18.0,581.0,9.0
4883,10,465,18377.24,218,836,0.78,0.22,0.0,19.0,0.0,1283.0,0.0,25.0,2075.0,862.0,7350.0,0.0,0.0,3779.0,0.0,0.0,1753.0,0.0,1231.0,0.0,0.0,14339.32,2262.12,0.0,0.0,0.0,1740.38,417.0,10.0,0.0,2.0,0.0,4.0,1.0
4884,20,3093,195442.24,792,683,0.78,0.22,0.0,1343.0,0.0,1551.0,0.0,1196.0,15519.0,2576.0,58618.0,0.0,39.0,80194.0,0.0,0.0,12514.0,243.0,21651.0,0.0,0.0,155135.93,35819.17,281.5,0.0,0.0,1290.03,2218.0,268.0,38.0,13.0,67.0,30.0,4.0
