customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us,churned,segment
1515,5,90,4645.69,36,451,0.96,0.04,649.0,78.0,0.0,11.0,0.0,314.0,362.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,2209.0,85.0,624.0,0.0,0.0,4080.97,507.58,0.0,0.0,0.0,57.14,70.0,0.0,0.0,1.0,0.0,4.0,13.0,False,Active
1517,19,1969,205082.5,664,963,0.44,0.56,12979.0,3129.0,0.0,11222.0,0.0,1577.0,16439.0,1342.0,100259.0,0.0,153.0,17509.0,0.0,241.0,22110.0,345.0,17779.0,0.0,0.0,107706.56,68134.57,168.99,0.0,0.0,27810.88,1351.0,151.0,53.0,9.0,7.0,6.0,160.0,False,Active
1523,2,20,2042.08,18,199,1.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,0.0,0.0,0.0,106.0,0.0,0.0,334.0,0.0,49.0,0.0,0.0,1892.5,149.58,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,False,Active
1527,15,1666,112709.58,537,945,0.71,0.29,1646.0,2627.0,0.0,2468.0,0.0,1348.0,11444.0,1504.0,21452.0,0.0,563.0,25350.0,0.0,0.0,34959.0,198.0,9150.0,0.0,0.0,96887.2,15497.22,0.0,0.0,0.0,325.16,1318.0,17.0,90.0,14.0,131.0,17.0,6.0,False,Active
1529,7,962,70565.41,258,964,0.99,0.01,0.0,74.0,0.0,562.0,0.0,12.0,28240.0,4337.0,3531.0,0.0,193.0,8829.0,0.0,0.0,22758.0,4.0,2026.0,0.0,0.0,63983.31,6537.91,0.0,0.0,0.0,0.0,892.0,2.0,3.0,0.0,0.0,56.0,0.0,False,Active
1530,12,852,21162.64,155,962,0.91,0.09,2233.0,890.0,0.0,450.0,0.0,239.0,8494.0,394.0,39.0,0.0,87.0,3608.0,0.0,0.0,1808.0,47.0,2874.0,0.0,0.0,18509.9,423.46,0.0,455.59,0.0,0.0,771.0,1.0,6.0,6.0,3.0,10.0,12.0,False,Active
1532,4,318,15355.29,173,372,0.94,0.06,1400.0,0.0,0.0,181.0,0.0,69.0,2170.0,57.0,3926.0,0.0,0.0,2618.0,0.0,0.0,385.0,246.0,4305.0,0.0,0.0,14881.57,420.01,53.71,0.0,0.0,0.0,303.0,0.0,8.0,6.0,0.0,0.0,0.0,False,Active
1535,3,124,7417.97,64,270,0.96,0.04,647.0,0.0,0.0,158.0,0.0,426.0,2569.0,475.0,33.0,0.0,410.0,208.0,0.0,0.0,1216.0,88.0,1187.0,0.0,0.0,2668.23,4749.74,0.0,0.0,0.0,0.0,51.0,69.0,4.0,0.0,0.0,0.0,0.0,False,Active
1536,10,281,17661.54,95,934,0.76,0.24,936.0,376.0,0.0,49.0,0.0,1.0,6861.0,1382.0,0.0,0.0,521.0,1168.0,0.0,0.0,5653.0,50.0,665.0,0.0,0.0,15450.57,1662.97,0.0,0.0,0.0,0.0,214.0,31.0,0.0,1.0,4.0,1.0,0.0,False,Active
1538,14,1674,115972.28,547,963,0.45,0.55,0.0,13168.0,105.0,5905.0,0.0,321.0,25701.0,1122.0,28978.0,0.0,125.0,17933.0,0.0,0.0,16733.0,529.0,5144.0,208.0,0.0,76678.74,36287.03,0.0,0.0,0.0,3006.51,1108.0,58.0,132.0,26.0,61.0,0.0,64.0,False,Active
1539,5,359,13585.67,76,690,0.84,0.16,0.0,1633.0,0.0,0.0,0.0,0.0,9834.0,408.0,0.0,0.0,135.0,444.0,0.0,0.0,931.0,0.0,202.0,0.0,0.0,13074.55,91.63,0.0,0.0,0.0,414.52,331.0,0.0,0.0,0.0,0.0,3.0,21.0,False,Active
1541,3,166,5154.7,114,425,0.71,0.29,0.0,54.0,0.0,103.0,0.0,62.0,710.0,128.0,0.0,0.0,0.0,404.0,0.0,0.0,3204.0,490.0,0.0,0.0,0.0,321.5,56.77,0.0,0.0,0.0,4776.43,20.0,0.0,0.0,0.0,0.0,1.0,145.0,False,Active
1543,13,477,22799.74,249,946,0.37,0.63,4694.0,79.0,0.0,1048.0,0.0,57.0,1703.0,142.0,2495.0,0.0,27.0,3566.0,0.0,0.0,1644.0,0.0,7345.0,0.0,0.0,20652.1,1509.05,0.0,581.12,0.0,57.47,334.0,11.0,2.0,8.0,0.0,5.0,3.0,False,Active
1544,4,704,19121.94,168,754,0.81,0.19,254.0,39.0,0.0,251.0,0.0,50.0,9412.0,1856.0,51.0,0.0,0.0,1124.0,0.0,0.0,4597.0,96.0,1393.0,0.0,0.0,15383.22,3738.72,0.0,0.0,0.0,0.0,618.0,82.0,0.0,0.0,0.0,0.0,0.0,False,Active
1547,9,488,9990.79,263,480,0.88,0.12,0.0,161.0,0.0,238.0,0.0,292.0,2199.0,452.0,928.0,0.0,58.0,2729.0,0.0,0.0,1996.0,44.0,892.0,0.0,0.0,7390.0,909.93,501.73,0.0,0.0,90.25,384.0,5.0,40.0,35.0,0.0,0.0,0.0,False,Active
